Temperature [_ C],Humidity [%],Soil moisture,Nitrogen [mg/kg],Phosphorus [mg/kg],Potassium,pH,Health_Label
31.2,95.0,587.0,117,42,58,3.49,Non-Healthy
25.9,94.4,309.0,106,38,53,3.47,Non-Healthy
26.0,92.6,284.0,106,38,53,3.52,Healthy
26.0,95.0,310.0,106,38,53,3.47,Healthy
25.9,95.0,297.0,106,38,53,3.44,Healthy
25.9,98.2,281.0,106,38,53,4.81,Healthy
25.9,92.7,265.0,106,38,54,3.63,Healthy
28.9,80.4,228.0,107,37,50,3.59,Healthy
28.8,80.9,225.0,107,37,50,3.6,Healthy
28.8,79.9,314.0,107,37,50,3.57,Healthy
30.2,96.3,532.0,107,37,50,3.62,Non-Healthy
25.8,95.7,209.0,44,15,22,3.59,Non-Healthy
25.7,95.0,212.0,44,15,22,3.59,Non-Healthy
25.8,93.7,214.0,44,15,22,3.58,Non-Healthy
25.8,95.0,204.0,44,15,22,3.66,Non-Healthy
25.8,93.7,204.0,44,15,22,3.6,Non-Healthy
25.8,97.7,204.0,44,15,22,3.6,Non-Healthy
25.9,97.7,587.0,44,15,22,3.67,Non-Healthy
27.4,88.5,587.0,107,37,50,3.6,Healthy
27.5,88.4,215.0,107,37,50,3.57,Non-Healthy
27.5,87.5,215.0,107,37,50,3.57,Non-Healthy
27.5,84.6,214.0,107,37,50,3.58,Healthy
27.5,86.8,215.0,107,37,50,3.61,Non-Healthy
27.4,83.9,213.0,107,37,50,3.56,Healthy
27.4,80.8,215.0,107,37,50,3.57,Healthy
27.5,83.6,214.0,107,37,50,3.56,Healthy
27.5,81.5,213.0,107,37,50,3.54,Non-Healthy
27.5,86.3,213.0,107,37,50,3.57,Non-Healthy
27.4,82.3,215.0,107,37,50,3.55,Healthy
27.5,86.3,213.0,107,37,50,3.55,Non-Healthy
28.8,78.3,268.0,107,37,50,3.53,Healthy
28.8,78.2,265.0,107,37,50,3.56,Healthy
28.8,78.9,265.0,107,37,50,3.54,Healthy
28.8,77.9,267.0,107,37,50,3.53,Healthy
28.8,78.1,268.0,107,37,50,3.58,Healthy
28.8,79.0,265.0,107,37,50,3.53,Healthy
28.8,78.9,265.0,107,37,50,3.57,Healthy
28.8,77.0,266.0,107,37,50,3.54,Healthy
28.7,78.5,268.0,117,42,58,3.51,Healthy
28.7,77.6,265.0,117,42,58,3.57,Healthy
28.7,78.5,265.0,117,42,58,3.54,Healthy
28.7,78.5,265.0,117,42,58,3.54,Healthy
28.8,81.2,268.0,117,42,58,3.59,Healthy
28.7,80.5,265.0,117,42,58,3.55,Healthy
28.7,80.0,265.0,117,42,58,3.6,Healthy
28.7,78.6,266.0,117,42,58,3.55,Healthy
28.7,78.3,265.0,117,42,58,3.53,Healthy
28.7,79.8,265.0,117,42,58,3.61,Healthy
28.7,78.3,265.0,117,42,58,3.59,Healthy
28.7,79.0,268.0,117,42,58,3.59,Healthy
28.6,78.3,266.0,117,42,58,3.58,Healthy
28.7,78.5,265.0,117,42,58,3.63,Healthy
28.7,78.0,265.0,117,42,58,3.61,Healthy
28.7,77.1,268.0,117,42,58,3.59,Healthy
28.7,79.6,265.0,117,42,58,3.59,Healthy
28.7,79.0,264.0,117,42,58,3.61,Healthy
28.6,79.5,265.0,117,42,58,3.59,Healthy
28.6,79.0,268.0,117,42,58,3.61,Healthy
28.6,79.3,266.0,117,42,58,3.63,Healthy
28.6,79.0,264.0,117,42,58,3.61,Healthy
28.6,78.5,265.0,117,42,58,3.66,Healthy
28.6,79.0,268.0,117,42,58,3.64,Healthy
28.6,78.3,265.0,117,42,58,3.63,Healthy
28.5,76.8,589.0,117,42,58,3.63,Healthy
28.5,77.6,589.0,117,42,58,3.68,Healthy
28.5,78.5,264.0,117,42,58,3.65,Healthy
28.5,77.6,265.0,117,42,58,3.62,Healthy
28.5,78.1,268.0,117,42,58,3.69,Healthy
28.5,77.0,264.0,117,42,58,3.67,Healthy
28.5,78.0,264.0,117,42,58,3.64,Healthy
28.5,77.8,265.0,117,42,58,3.66,Healthy
28.5,78.5,268.0,117,42,58,3.67,Healthy
28.5,77.3,266.0,117,42,58,3.65,Healthy
28.5,79.5,264.0,117,42,58,3.65,Healthy
28.4,78.6,264.0,117,42,58,3.65,Healthy
28.4,78.0,268.0,117,42,58,3.65,Healthy
28.4,77.9,266.0,117,42,58,3.68,Healthy
28.4,78.3,264.0,117,42,58,3.63,Healthy
29.7,95.0,587.0,117,42,58,3.65,Non-Healthy
29.7,95.0,587.0,117,42,58,3.65,Non-Healthy
25.2,95.0,268.0,117,42,58,3.67,Healthy
27.4,89.1,268.0,117,42,58,3.67,Healthy
27.4,90.1,268.0,117,42,58,3.65,Healthy
25.2,95.0,228.0,44,15,22,3.71,Non-Healthy
25.2,95.0,228.0,44,15,22,3.66,Non-Healthy
25.3,95.0,230.0,44,15,22,3.67,Non-Healthy
25.3,95.0,228.0,44,15,22,3.67,Non-Healthy
25.3,95.0,230.0,44,15,22,3.65,Non-Healthy
25.3,95.0,227.0,44,15,22,3.68,Non-Healthy
25.2,95.0,227.0,44,15,22,3.65,Non-Healthy
25.2,95.0,229.0,44,15,22,3.66,Non-Healthy
25.2,95.0,229.0,44,15,22,3.67,Non-Healthy
25.2,95.0,227.0,44,15,22,3.67,Non-Healthy
28.6,83.8,232.0,117,42,58,3.65,Healthy
28.6,82.6,230.0,117,42,58,3.67,Healthy
28.7,82.3,230.0,117,42,58,3.68,Healthy
28.7,82.8,233.0,117,42,58,3.67,Healthy
28.7,81.6,230.0,117,42,58,3.68,Healthy
28.8,82.0,231.0,117,42,58,3.65,Healthy
28.7,82.8,235.0,117,42,58,3.61,Healthy
28.6,83.2,229.0,117,42,58,3.68,Healthy
28.5,82.6,237.0,117,42,58,3.63,Healthy
28.6,80.5,233.0,117,42,58,3.67,Healthy
28.7,79.1,230.0,117,42,58,3.65,Healthy
28.8,77.4,238.0,117,42,58,3.65,Healthy
28.8,79.5,231.0,117,42,58,3.65,Healthy
30.0,62.7,231.0,117,42,58,3.64,Non-Healthy
30.0,62.5,231.0,117,42,58,3.7,Non-Healthy
30.0,63.2,237.0,117,42,58,3.68,Healthy
30.0,62.2,231.0,117,42,58,3.69,Non-Healthy
30.0,61.7,231.0,117,42,58,3.69,Non-Healthy
30.0,62.0,237.0,117,42,58,3.66,Non-Healthy
30.0,62.2,232.0,117,42,58,3.71,Non-Healthy
29.9,63.5,232.0,117,42,58,3.65,Non-Healthy
29.9,64.0,235.0,117,42,58,3.66,Non-Healthy
29.9,65.7,234.0,117,42,58,3.67,Non-Healthy
29.9,65.5,232.0,117,42,58,3.69,Non-Healthy
29.9,65.2,229.0,117,42,58,3.66,Non-Healthy
29.9,66.3,232.0,117,42,58,3.65,Non-Healthy
28.9,83.7,213.0,117,42,58,3.68,Healthy
28.9,84.8,502.0,117,42,58,3.65,Healthy
27.6,89.0,502.0,117,42,58,3.67,Healthy
27.6,96.0,215.0,117,42,58,3.66,Non-Healthy
27.6,87.8,212.0,117,42,58,3.65,Non-Healthy
27.6,96.5,214.0,117,42,58,3.71,Non-Healthy
27.5,93.0,213.0,117,42,58,3.67,Non-Healthy
29.0,86.9,203.0,117,42,58,3.7,Non-Healthy
29.0,86.9,213.0,117,42,58,3.69,Non-Healthy
29.0,86.7,195.0,117,42,58,3.7,Non-Healthy
28.9,86.0,196.0,117,42,58,3.69,Non-Healthy
28.9,86.3,196.0,117,42,58,3.69,Non-Healthy
28.9,85.8,196.0,117,42,58,3.71,Healthy
28.9,86.0,196.0,117,42,58,3.69,Non-Healthy
28.9,85.8,196.0,117,42,58,3.7,Non-Healthy
28.9,85.8,196.0,117,42,58,3.68,Non-Healthy
28.9,85.8,196.0,106,39,55,3.67,Non-Healthy
28.9,85.8,196.0,106,39,55,3.72,Non-Healthy
28.9,85.8,196.0,106,39,55,3.74,Non-Healthy
28.9,85.8,196.0,106,39,55,3.71,Non-Healthy
28.9,85.8,196.0,106,39,55,3.71,Non-Healthy
28.9,85.8,196.0,106,39,55,3.76,Non-Healthy
28.9,85.8,196.0,106,39,55,3.7,Non-Healthy
28.9,85.8,196.0,106,39,55,3.73,Non-Healthy
28.9,85.8,196.0,106,39,55,3.73,Non-Healthy
28.9,85.8,196.0,106,39,55,3.74,Non-Healthy
28.9,85.8,196.0,106,39,55,3.71,Non-Healthy
28.9,85.8,196.0,106,39,55,3.72,Non-Healthy
28.9,85.8,196.0,106,39,55,3.65,Non-Healthy
28.9,85.8,196.0,106,39,55,3.71,Non-Healthy
28.9,85.8,196.0,106,39,55,3.68,Non-Healthy
28.9,85.8,196.0,106,39,55,3.73,Non-Healthy
28.9,85.8,196.0,106,39,55,3.73,Non-Healthy
28.9,85.8,196.0,106,39,55,3.74,Non-Healthy
28.9,85.8,196.0,106,39,55,3.7,Non-Healthy
28.9,85.8,196.0,106,39,55,3.76,Non-Healthy
28.9,85.8,196.0,106,39,55,3.73,Non-Healthy
28.9,85.8,196.0,106,39,55,3.75,Non-Healthy
28.9,85.8,196.0,106,39,55,3.71,Non-Healthy
28.9,85.8,196.0,106,39,55,3.72,Non-Healthy
28.9,85.8,196.0,106,39,55,3.72,Non-Healthy
28.9,85.8,196.0,106,39,55,3.73,Non-Healthy
28.9,85.8,196.0,106,39,55,3.73,Healthy
28.9,85.8,196.0,106,39,55,3.7,Non-Healthy
28.9,85.8,196.0,106,39,55,3.71,Non-Healthy
28.9,85.8,196.0,106,39,55,3.7,Non-Healthy
28.9,85.8,196.0,106,39,55,3.77,Non-Healthy
28.9,85.8,196.0,106,39,55,3.77,Non-Healthy
28.9,85.8,196.0,106,39,55,3.73,Non-Healthy
28.9,85.8,196.0,106,39,55,3.72,Non-Healthy
28.9,85.8,196.0,106,39,55,3.7,Non-Healthy
28.9,85.8,196.0,106,39,55,3.75,Non-Healthy
28.9,85.8,196.0,106,39,55,3.75,Non-Healthy
28.9,85.8,196.0,106,39,55,6.55,Healthy
28.9,85.8,196.0,106,39,55,5.04,Non-Healthy
28.9,85.8,196.0,106,39,55,1.44,Non-Healthy
28.9,85.8,196.0,106,39,55,4.89,Non-Healthy
28.9,85.8,196.0,106,39,55,0.91,Non-Healthy
28.9,85.8,196.0,106,39,55,6.57,Healthy
28.9,85.8,196.0,106,39,55,12.26,Non-Healthy
28.9,85.8,196.0,106,39,55,7.46,Healthy
28.9,85.8,196.0,106,39,55,4.42,Non-Healthy
28.9,85.8,196.0,106,39,55,3.96,Non-Healthy
28.9,85.8,196.0,106,39,55,3.83,Non-Healthy
28.9,85.8,196.0,106,39,55,3.76,Non-Healthy
28.9,85.8,196.0,106,39,55,3.74,Non-Healthy
28.9,85.8,196.0,118,39,55,3.72,Non-Healthy
28.3,88.7,234.0,118,39,55,3.69,Healthy
28.3,87.2,235.0,118,39,55,3.72,Non-Healthy
28.3,88.4,232.0,118,39,55,3.71,Non-Healthy
28.3,88.4,232.0,118,39,55,3.73,Non-Healthy
28.3,88.4,232.0,118,39,55,3.72,Non-Healthy
28.3,88.4,232.0,118,39,55,3.72,Non-Healthy
28.3,88.4,232.0,118,39,55,3.69,Non-Healthy
28.3,88.4,232.0,118,39,55,3.72,Non-Healthy
28.9,83.7,503.0,118,39,55,3.7,Healthy
28.9,84.8,503.0,118,39,55,3.69,Healthy
27.6,89.0,214.0,118,39,55,3.68,Non-Healthy
27.6,96.0,558.0,118,39,55,3.66,Healthy
27.6,87.8,558.0,118,39,55,3.67,Healthy
27.6,96.5,214.0,118,39,55,3.7,Non-Healthy
27.5,93.0,213.0,118,39,55,3.67,Healthy
29.0,86.9,203.0,118,39,55,3.65,Non-Healthy
29.0,86.9,213.0,118,39,55,3.64,Non-Healthy
29.0,86.7,195.0,118,39,55,3.66,Non-Healthy
28.9,86.0,196.0,118,39,55,3.67,Healthy
28.9,86.3,196.0,118,39,55,3.68,Non-Healthy
28.9,85.8,196.0,118,39,55,3.66,Non-Healthy
28.9,86.0,196.0,118,39,55,3.62,Non-Healthy
28.9,85.8,196.0,118,39,55,3.65,Non-Healthy
28.9,85.8,196.0,118,39,55,3.68,Non-Healthy
25.68,89.26,350.63,104,61,125,2.91,Non-Healthy
28.01,82.62,593.6,100,90,67,5.33,Healthy
26.44,67.22,614.17,117,98,53,2.9,Non-Healthy
25.63,65.63,381.92,86,62,92,6.73,Healthy
23.93,91.66,337.84,104,49,112,4.78,Non-Healthy
27.04,70.05,149.23,65,104,133,4.57,Non-Healthy
24.13,66.28,579.4,105,45,102,3.02,Healthy
30.48,95.0,510.37,80,88,61,2.79,Non-Healthy
31.49,70.82,374.74,109,41,98,2.53,Healthy
23.37,64.37,412.72,66,101,91,4.42,Healthy
29.08,76.16,639.71,111,47,41,6.49,Healthy
25.4,75.2,629.05,65,97,81,4.63,Non-Healthy
25.95,92.44,223.87,73,69,114,4.9,Non-Healthy
30.96,64.7,612.43,63,105,110,3.41,Non-Healthy
18.99,63.19,415.65,92,76,107,4.1,Healthy
19.22,63.25,181.55,113,56,55,4.04,Healthy
18.28,91.65,300.66,88,84,106,3.07,Non-Healthy
29.66,75.73,518.43,109,42,92,6.3,Healthy
28.89,65.27,638.19,84,40,129,6.23,Healthy
30.18,80.78,182.84,115,59,104,6.04,Healthy
31.7,78.82,473.6,119,63,82,5.66,Healthy
29.19,66.94,513.31,105,58,91,4.85,Healthy
24.46,81.11,280.18,87,44,44,4.92,Healthy
28.93,71.91,558.85,97,43,83,2.37,Healthy
19.66,68.34,179.93,118,44,72,4.59,Healthy
26.96,77.86,259.01,62,46,56,5.25,Healthy
20.01,70.21,120.28,105,41,54,3.33,Healthy
31.23,67.77,411.59,93,100,129,5.29,Non-Healthy
25.31,90.79,272.79,101,72,126,5.91,Healthy
23.81,65.45,165.28,79,85,60,4.59,Non-Healthy
21.7,69.82,630.91,76,109,97,6.79,Healthy
28.84,73.51,235.23,73,53,67,6.33,Healthy
24.39,69.58,449.05,76,66,43,4.85,Healthy
25.96,67.37,277.45,93,66,94,5.79,Healthy
18.26,86.99,466.55,115,62,93,3.48,Non-Healthy
26.65,71.52,499.49,111,92,57,2.94,Healthy
26.57,63.94,540.84,105,62,121,4.86,Healthy
26.64,78.93,291.52,114,56,94,6.01,Healthy
31.21,64.39,147.41,115,64,45,5.01,Non-Healthy
27.55,72.51,617.22,66,52,51,3.39,Healthy
23.03,90.86,682.19,88,83,135,6.06,Non-Healthy
24.12,72.92,634.01,60,79,103,5.88,Healthy
27.77,82.14,167.91,90,76,45,3.61,Non-Healthy
18.84,78.01,575.38,113,109,76,6.03,Healthy
27.33,64.82,401.88,105,108,89,2.4,Healthy
27.39,82.72,486.63,103,58,124,5.17,Healthy
20.95,89.96,474.79,68,75,52,6.5,Healthy
19.8,63.26,430.32,64,41,116,3.47,Healthy
22.42,86.38,511.55,118,74,68,3.82,Non-Healthy
23.09,84.16,477.47,69,108,107,3.06,Healthy
25.98,90.33,454.57,79,107,119,2.2,Non-Healthy
24.14,63.64,202.84,67,91,102,5.95,Healthy
31.84,70.7,621.66,97,61,101,5.7,Non-Healthy
19.43,84.3,557.03,81,57,80,6.18,Healthy
20.92,60.77,679.33,113,55,110,3.96,Healthy
20.26,85.69,579.21,99,71,99,5.82,Healthy
27.14,90.03,457.86,78,62,128,6.66,Healthy
21.55,75.87,651.96,95,61,99,3.19,Non-Healthy
24.53,75.2,499.47,86,104,98,5.57,Healthy
21.42,69.75,299.88,101,59,130,6.68,Healthy
20.23,60.18,221.79,60,41,138,6.31,Healthy
19.55,66.52,470.5,62,86,57,6.62,Healthy
27.19,94.3,546.98,91,94,110,4.46,Non-Healthy
19.93,90.36,598.01,96,83,127,6.4,Healthy
20.75,69.33,285.47,93,69,139,2.54,Healthy
23.16,93.73,643.16,66,97,54,4.68,Non-Healthy
29.49,72.87,455.22,101,62,110,2.85,Non-Healthy
19.36,70.42,539.39,73,68,76,6.83,Healthy
29.73,65.35,588.72,93,89,55,6.56,Healthy
19.35,91.56,660.14,84,90,66,5.89,Non-Healthy
31.67,94.54,288.19,98,49,64,5.82,Healthy
24.56,71.46,347.63,94,74,42,2.38,Healthy
31.67,84.62,641.98,80,76,103,6.35,Non-Healthy
26.47,71.74,604.0,76,81,78,4.47,Non-Healthy
28.35,63.67,351.5,74,93,66,5.52,Healthy
18.55,73.74,391.06,74,55,114,4.62,Healthy
21.96,79.3,535.95,80,45,87,3.54,Healthy
19.68,64.31,155.52,72,79,78,4.71,Non-Healthy
22.15,88.64,333.04,80,73,132,4.22,Non-Healthy
19.66,77.41,239.61,76,77,124,6.9,Healthy
22.45,68.2,420.9,112,65,80,6.56,Healthy
23.8,80.75,567.82,105,68,67,6.97,Healthy
18.9,87.76,195.36,88,66,69,5.04,Non-Healthy
27.69,71.47,692.31,74,60,59,6.62,Healthy
25.93,84.55,390.92,97,47,64,5.62,Healthy
21.72,74.98,568.35,81,42,126,2.57,Healthy
25.33,93.74,324.4,69,85,51,5.07,Non-Healthy
19.32,86.98,403.12,104,48,115,4.1,Healthy
26.06,72.47,679.62,96,81,82,6.28,Healthy
31.01,60.62,520.35,82,54,133,5.48,Healthy
22.46,83.01,134.88,82,44,104,4.76,Healthy
27.34,66.93,254.55,66,74,132,5.77,Healthy
19.85,64.27,270.37,107,57,116,3.01,Healthy
28.03,92.61,676.17,85,46,83,5.8,Healthy
22.05,95.0,566.35,66,60,131,4.44,Healthy
20.56,69.45,513.61,76,56,133,4.69,Healthy
26.21,70.56,160.4,69,69,112,3.05,Non-Healthy
18.28,65.77,586.21,116,81,69,4.44,Healthy
29.61,76.02,225.37,113,62,48,2.64,Non-Healthy
18.07,90.3,206.29,96,56,134,4.5,Non-Healthy
27.49,84.55,623.93,65,45,137,6.3,Healthy
21.78,89.62,122.92,96,66,51,4.57,Non-Healthy
28.29,68.0,156.7,93,76,108,4.44,Non-Healthy
31.47,85.57,653.26,107,79,59,5.79,Non-Healthy
21.48,92.15,265.9,81,52,99,2.21,Healthy
26.07,69.85,569.12,107,78,82,2.4,Healthy
26.29,84.17,501.16,118,108,108,6.18,Healthy
26.01,74.02,185.09,86,87,115,2.26,Non-Healthy
21.12,70.16,581.06,118,59,127,5.06,Healthy
31.34,93.94,240.29,63,95,63,4.72,Non-Healthy
24.26,72.2,523.35,69,109,107,4.21,Healthy
29.85,63.77,340.89,68,102,92,3.96,Non-Healthy
27.79,73.6,435.96,64,53,122,4.44,Healthy
22.16,75.67,668.8,65,98,91,6.39,Healthy
29.39,86.33,270.32,75,70,119,4.98,Non-Healthy
23.55,93.25,294.64,99,57,111,5.81,Healthy
30.34,88.6,289.66,63,69,108,5.61,Healthy
26.14,92.58,334.61,104,73,121,3.4,Non-Healthy
30.34,76.63,454.44,76,102,71,2.08,Non-Healthy
27.7,85.18,584.15,111,104,129,4.43,Non-Healthy
28.15,70.82,638.01,119,106,81,4.76,Healthy
25.02,62.44,155.49,94,77,129,4.84,Non-Healthy
31.39,72.79,497.06,91,44,78,5.08,Healthy
27.02,84.43,463.59,114,50,115,6.27,Healthy
23.93,69.61,468.54,69,88,99,3.13,Non-Healthy
26.49,90.15,580.13,107,108,123,4.73,Non-Healthy
18.27,87.68,663.96,96,59,121,4.53,Non-Healthy
22.22,66.79,553.99,90,94,62,6.97,Healthy
27.24,71.58,219.54,69,89,48,2.08,Non-Healthy
22.06,88.89,673.7,98,106,105,3.81,Non-Healthy
26.65,68.54,621.82,92,64,49,2.53,Non-Healthy
24.0,71.61,293.8,62,105,93,3.39,Healthy
19.9,72.01,190.91,117,53,107,4.43,Healthy
22.18,88.04,587.47,71,101,77,6.18,Healthy
25.98,61.3,686.28,106,78,129,2.92,Non-Healthy
26.27,62.58,193.94,114,86,132,6.28,Healthy
26.04,80.25,497.79,111,41,129,4.27,Healthy
27.14,73.9,125.71,84,108,103,4.49,Non-Healthy
27.13,82.15,140.59,84,72,130,5.02,Non-Healthy
24.04,69.33,575.41,119,97,125,5.75,Healthy
30.55,91.84,593.04,115,41,71,6.16,Healthy
23.15,86.63,322.62,101,100,58,6.03,Healthy
24.1,62.37,379.82,109,69,79,4.94,Healthy
30.49,87.44,572.1,87,69,114,3.17,Non-Healthy
29.29,93.94,617.47,73,54,62,5.21,Non-Healthy
27.85,92.99,280.14,103,101,109,4.71,Non-Healthy
19.4,85.74,574.89,103,49,108,2.66,Healthy
30.87,64.33,236.51,107,66,137,2.24,Non-Healthy
28.0,80.16,379.46,64,45,133,4.6,Healthy
31.98,69.95,536.96,78,51,84,2.7,Healthy
20.09,93.96,517.76,65,50,94,6.5,Healthy
30.15,85.11,411.33,66,66,60,4.68,Non-Healthy
20.27,81.38,508.53,72,45,109,6.88,Healthy
26.62,84.33,149.31,96,104,55,5.02,Non-Healthy
19.73,75.33,287.2,103,57,76,2.27,Healthy
29.87,73.05,245.44,70,93,69,5.46,Non-Healthy
29.3,92.75,167.44,107,75,118,3.64,Non-Healthy
25.97,71.62,240.46,103,40,89,2.03,Healthy
23.7,61.45,618.82,119,93,81,4.5,Non-Healthy
18.97,74.03,639.84,116,78,136,2.02,Non-Healthy
27.76,87.66,429.2,94,78,130,3.49,Non-Healthy
24.35,82.7,400.95,93,40,104,4.34,Healthy
28.11,93.68,388.64,79,109,65,5.28,Healthy
30.13,63.72,676.25,78,59,66,5.2,Healthy
31.66,91.9,665.67,73,89,55,3.41,Non-Healthy
29.98,72.91,245.56,100,45,46,6.6,Healthy
18.16,76.59,175.1,113,94,76,5.45,Non-Healthy
23.04,75.0,151.54,77,63,55,4.45,Non-Healthy
28.22,64.08,327.44,113,97,47,3.67,Healthy
20.4,68.67,362.17,117,49,76,6.23,Healthy
25.29,85.98,263.65,98,56,111,5.79,Healthy
18.76,60.81,653.73,61,60,133,3.52,Non-Healthy
20.8,64.69,605.55,70,95,137,6.12,Healthy
18.26,60.88,551.79,71,101,110,3.78,Non-Healthy
29.11,90.01,400.66,115,75,62,6.61,Non-Healthy
21.13,81.61,634.17,76,91,65,4.01,Non-Healthy
22.83,65.95,668.21,107,93,139,4.23,Non-Healthy
30.99,86.91,634.85,81,88,78,5.72,Non-Healthy
27.86,93.84,271.59,79,57,113,4.12,Healthy
18.45,92.71,621.25,91,53,113,6.56,Healthy
20.31,92.25,323.21,110,96,104,4.68,Non-Healthy
26.7,60.27,191.5,102,106,72,2.02,Non-Healthy
26.08,80.62,551.3,69,68,84,4.71,Healthy
21.33,68.98,589.15,97,44,77,5.38,Healthy
31.08,79.76,692.33,105,49,132,2.36,Non-Healthy
26.6,71.13,398.96,82,96,114,2.14,Healthy
25.5,65.38,265.59,79,85,62,3.11,Healthy
26.26,75.56,157.93,60,60,112,4.29,Healthy
28.22,77.33,359.65,66,89,109,3.92,Healthy
22.37,94.64,454.91,62,49,121,2.07,Healthy
23.58,61.48,407.97,111,79,59,2.79,Healthy
20.94,70.54,214.42,102,83,96,5.84,Healthy
20.61,89.82,335.5,115,47,67,6.48,Healthy
31.22,83.09,652.39,108,109,90,3.44,Non-Healthy
28.35,88.93,386.39,61,71,124,3.34,Non-Healthy
24.87,83.11,417.09,69,93,118,2.85,Healthy
21.18,86.58,393.71,109,66,126,5.96,Healthy
21.56,77.25,343.13,83,98,126,2.19,Healthy
18.81,67.17,155.16,83,64,53,3.42,Non-Healthy
24.08,88.35,252.93,97,52,46,5.15,Healthy
22.37,79.87,410.0,87,73,135,4.37,Healthy
27.75,64.88,458.97,88,61,71,5.09,Healthy
23.29,88.17,397.32,119,87,48,4.81,Healthy
20.51,93.55,331.06,97,77,114,5.99,Healthy
18.35,72.12,586.03,97,51,56,5.72,Healthy
18.94,70.27,522.96,99,83,109,6.95,Healthy
27.51,62.86,668.34,101,83,120,4.53,Non-Healthy
24.35,83.26,136.09,107,108,112,4.37,Non-Healthy
25.51,93.56,551.57,62,82,114,6.16,Healthy
30.55,64.76,155.6,83,109,105,2.58,Non-Healthy
31.86,76.98,288.77,111,56,46,4.01,Healthy
21.04,63.44,651.92,94,60,52,4.8,Healthy
27.28,61.19,569.71,60,83,104,5.48,Healthy
21.69,83.26,503.97,96,42,108,2.25,Healthy
18.29,90.37,351.82,63,48,103,6.02,Healthy
28.62,71.81,148.9,104,93,97,4.02,Non-Healthy
22.48,90.65,270.95,60,94,101,5.6,Healthy
23.37,64.1,398.9,115,45,103,4.11,Healthy
26.24,68.33,365.21,85,95,77,5.99,Healthy
29.63,91.56,385.72,87,108,42,5.98,Non-Healthy
26.81,77.8,137.58,96,43,83,3.9,Healthy
30.22,81.29,487.18,108,108,135,2.58,Non-Healthy
21.83,61.33,381.56,61,81,45,4.43,Healthy
29.17,64.49,129.74,116,56,97,2.19,Non-Healthy
20.6,61.95,664.74,67,67,58,4.27,Non-Healthy
31.34,91.68,234.67,93,98,47,5.8,Non-Healthy
27.62,64.72,218.36,88,61,138,2.53,Non-Healthy
21.02,89.74,557.95,96,81,91,5.45,Non-Healthy
31.26,72.29,322.22,105,100,117,4.91,Non-Healthy
28.23,88.02,474.7,98,83,101,2.02,Non-Healthy
21.56,72.78,123.46,100,56,94,6.8,Healthy
20.99,69.37,370.23,97,43,59,5.21,Healthy
